rank,name,handle,followers,er,topics
195,𝔊𝔦𝔫𝔞 𝔙𝔞𝔩𝔢𝔫𝔱𝔦𝔫𝔞,@darealginavalentina,1.6M,1.79%,"Fashion and Accessories, Entertainment and Music, Television, Modeling"
196,Mario Ruiz,@soysocialmario,1.6M,0.15%,"Finance, Marketing and Advertising"
197,Alejandro Gil,@aleenforma,1.6M,0.24%,Fitness and Health
198,Chuty,@chutyvk,1.6M,1.32%,"Entertainment and Music, Actors, Music, Game"
199,Postureo Español,@postureoespanol,1.6M,2.05%,"Funny, Life and Society, Actors"
200,Maverick Viñales,@maverick12official,1.6M,1.38%,Sports
201,Eleven ⚡️,@sergioeleven,1.6M,0.27%,"Entertainment and Music, Marketing and Advertising"
202,Saul Ñiguez,@saulniguez,1.6M,1.18%,Sports
203,Bonnie Strange,@bonniestrange,1.6M,0.8%,"Travel, Celebrity, Lifestyle, Celebrities"
204,Juan Alberto,@illojuan,1.5M,21.31%,"Entertainment and Music, Lifestyle"
205,♡ Sara Conde ♡,@burpee_vet,1.5M,1.5%,"Food, Food and Drink, Coaching, Nutrition"
206,Tarifa,@bytarifa_official,1.5M,5.42%,"Automotive, Lifestyle"
207,La Isla de las Tentaciones,@islatentaciones,1.5M,4.26%,Entertainment and Music
208,Jasper Cillessen,@jaspercillessen,1.5M,0.6%,Sports
209,Doctor Fisión,@doctorfision,1.5M,0.26%,Medical Health
210,Álvaro Fernández,@farmaceuticofernandez,1.5M,0.57%,"Education, Fitness and Health, Celebrity"
211,Sissy,@sissymua,1.5M,0.65%,"Beauty and Self Care, Training, Health & Fitness, Cooking"
212,Juanpe,@juvnpe,1.5M,7.6%,Travel
213,ÁGUEDA,@aguedalopez21,1.5M,4.23%,"Fashion and Accessories, Marketing and Advertising, Actors"
214,Rene ZZ,@renezz,1.5M,1.02%,Entertainment and Music
215,Carles Aleñá,@carlesalenya,1.5M,0.72%,"Sports, Soccer"
216,Boggi🧸,@justboggi,1.5M,0.97%,"Entertainment and Music, Funny"
217,Ana Mena,@anamenaoficial,1.5M,2.05%,"Entertainment and Music, Marketing and Advertising, Music, Actors"
218,Kilian Jornet,@kilianjornet,1.5M,0.91%,Fitness and Health
219,Myriam Sandler,@mothercould,1.5M,4.28%,"family, DIY and Life Hacks"
220,MARTA SIERRA,@marta__sierra,1.5M,2.45%,"Fashion and Accessories, Lifestyle, Digital Creator"
221,MALA RODRÍGUEZ,@malarodriguez,1.5M,2.56%,"Beauty and Self Care, Actors"
222,Julia Menu Garcia,@juliamenugarcia,1.5M,1.03%,"Entertainment and Music, Marketing and Advertising"
223,Mike Fajardo,@mikefajardo_,1.5M,0.28%,"Entertainment and Music, Celebrity, Film, Music & Books, Nature & Outdoors"
224,OMAR MONTES,@omarmontesofficial,1.5M,9.08%,"Entertainment and Music, Music, Actors, Journalists"
225,Eva Gonzalez,@evagonzalezoficial,1.5M,0.89%,"Entertainment and Music, Actors, Journalists"
226,Ronald Valles,@ronald.vallez,1.5M,5.09%,Romance and Wedding
227,JESUS CALLEJA,@jesuscallejatv,1.4M,0.23%,"Travel, Outdoor Activity, Actors, Modeling"
228,Jordi Cruz Mas,@jordicruzoficial,1.4M,1.2%,"Actors, Chef, Journalists"
229,Los Tres Tristes Tigres,@los3tt,1.4M,1.73%,"Entertainment and Music, Funny, Marketing and Advertising"
230,David Bustamante,@davibusta,1.4M,1.6%,"Actors, Journalists"
231,Dabiz Muñoz,@dabizdiverxo,1.4M,0.8%,"Food, Chef, Restaurants"
232,T W I N  M E L O D Y,@twinmelody,1.4M,1%,"Entertainment and Music, Music, Events, Actors"
233,Risto Mejide,@ristomejide,1.4M,0.98%,"Entertainment and Music, Finance, Lifestyle"
234,Adexe,@adexeoficial,1.4M,0.63%,"Entertainment and Music, Actors, Music, Animals & Pets"
235,Santi Cazorla,@santicazorla,1.4M,3.6%,Soccer
236,TONI RUIZ,@toninoruiz,1.4M,0.54%,"Entertainment and Music, Fashion and Accessories, Marketing and Advertising, Film, Music & Books"
237,"Parejas, Couple, Novios",@noviospicantes,1.4M,0.1%,Lifestyle
